Run 1,Run 1,Run 1,Run 1,Run 1,Run 2,Run 2,Run 2,Run 2,Run 2,Run 3,Run 3,Run 3,Run 3,Run 3,Run 4,Run 4,Run 4,Run 4,Run 4,Run 5,Run 5,Run 5,Run 5,Run 5
Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²)
0.31,-0.007736943662170001,,,,0.30999999999999994,-0.007736943662170001,,,,0.30000000000000004,-0.007736943662170001,,,,0.3099999999999999,-0.007736943662170001,,,,0.30000000000000027,-0.007736943662170001,,,
0.32,-0.007736943662170001,0.001029,-0.022152083333299998,-0.0627741608796,0.31999999999999995,0.054158605635199995,,,,0.31000000000000005,-0.007736943662170001,,,,0.3199999999999999,0.0232108309865,,,,0.3100000000000003,-0.007736943662170001,,,
0.33,-0.007736943662170001,,,,0.32999999999999996,0.054158605635199995,0.0001715,-0.0365628472222,0.30055507330200004,0.32000000000000006,-0.007736943662170001,,,,0.3299999999999999,0.0232108309865,,,,0.3200000000000003,0.0232108309865,-0.0001715,-0.000238194444445,0.000578944830246
0.34,-0.007736943662170001,,,,0.33999999999999997,-0.007736943662170001,,,,0.33,-0.007736943662170001,-0.0008575,0.0042875,0.0206931423611,0.3399999999999999,0.0232108309865,-0.001372,-0.00881319444444,0.15408203125,0.3300000000000003,0.0232108309865,,,
0.35,-0.007736943662170001,,,,0.3499999999999999,0.0232108309865,,,,0.34,-0.007736943662170001,,,,0.3499999999999999,-0.007736943662170001,,,,0.3400000000000003,0.0232108309865,,,
0.36,-0.007736943662170001,-0.000686,-0.014291666666700002,0.13034529321,0.35999999999999993,0.0232108309865,,,,0.35000000000000003,-0.007736943662170001,,,,0.35999999999999993,0.0232108309865,,,,0.3500000000000003,0.0232108309865,,,
0.37,-0.007736943662170001,,,,0.36999999999999994,0.0232108309865,-0.0018865,-0.018221875,0.505832368827,0.36000000000000004,-0.007736943662170001,,,,0.3699999999999999,0.0232108309865,,,,0.3600000000000003,0.0232108309865,-0.001372,-0.00262013888889,0.039285542052500004
0.38,0.0232108309865,,,,0.3799999999999999,0.0232108309865,,,,0.37000000000000005,0.0232108309865,-0.000686,0.00446614583333,0.0708628472222,0.3799999999999999,-0.007736943662170001,-0.001715,0.00119097222222,0.443389033565,0.3700000000000002,0.054158605635199995,,,
0.39,-0.007736943662170001,,,,0.3899999999999999,0.0232108309865,,,,0.38,-0.007736943662170001,,,,0.3899999999999999,0.0232108309865,,,,0.3800000000000002,0.0232108309865,,,
0.4,0.0232108309865,-0.0001715,-0.00285833333333,0.167645881559,0.3999999999999999,0.0232108309865,,,,0.39,-0.007736943662170001,,,,0.3999999999999999,0.0232108309865,,,,0.39000000000000024,0.0232108309865,,,
0.41,-0.007736943662170001,,,,0.4099999999999999,-0.007736943662170001,-0.001372,0.00607395833333,0.656771556713,0.4,-0.007736943662170001,,,,0.4099999999999999,-0.007736943662170001,,,,0.40000000000000024,0.0232108309865,-0.0005145,-0.000119097222222,0.165164689429
0.42,-0.038684718310800004,,,,0.41999999999999993,0.0232108309865,,,,0.41000000000000003,-0.007736943662170001,-0.0005145,0.005502291666670001,0.21459830729200002,0.41999999999999993,0.054158605635199995,-0.001715,0.0245340277778,0.768838734568,0.41000000000000025,0.054158605635199995,,,
0.43,-0.007736943662170001,,,,0.42999999999999994,0.054158605635199995,,,,0.42000000000000004,-0.007736943662170001,,,,0.42999999999999994,0.0232108309865,,,,0.42000000000000026,0.054158605635199995,,,
0.44,-0.007736943662170001,0.0,-0.007264930555560001,0.35563753858,0.43999999999999995,0.0232108309865,,,,0.43000000000000005,-0.007736943662170001,,,,0.43999999999999995,-0.007736943662170001,,,,0.43000000000000027,0.0232108309865,,,
0.45,-0.007736943662170001,,,,0.44999999999999996,0.0232108309865,-0.0012005000000000002,0.029655208333299998,0.8452594521600001,0.44000000000000006,-0.007736943662170001,,,,0.44999999999999996,-0.007736943662170001,,,,0.4400000000000003,0.0232108309865,-0.001372,0.00452569444444,0.43354697145099996
0.46,-0.007736943662170001,,,,0.4599999999999999,0.0232108309865,,,,0.45000000000000007,-0.007736943662170001,-0.000343,0.013934375,0.5089504002699999,0.45999999999999996,-0.007736943662170001,-0.0005145,0.06824270833330001,0.8843795814040001,0.4500000000000003,0.054158605635199995,,,
0.47,-0.007736943662170001,,,,0.4699999999999999,0.0232108309865,,,,0.4600000000000001,-0.007736943662170001,,,,0.46999999999999986,0.0232108309865,,,,0.4600000000000003,0.054158605635199995,,,
0.48,-0.007736943662170001,-0.001715,0.0136961805556,0.757838782793,0.4799999999999999,0.0232108309865,,,,0.47000000000000003,0.0232108309865,,,,0.47999999999999987,0.0232108309865,,,,0.4700000000000003,-0.007736943662170001,,,
0.49,-0.007736943662170001,,,,0.48999999999999994,0.0232108309865,-0.0001715,0.08003333333330001,0.740056905864,0.48000000000000004,-0.007736943662170001,,,,0.4899999999999999,0.0232108309865,,,,0.4800000000000003,0.0232108309865,-0.0012005000000000002,0.034538194444400004,0.6905984760799999
0.5,-0.007736943662170001,,,,0.49999999999999994,-0.007736943662170001,,,,0.49000000000000005,-0.007736943662170001,0.0,0.0393020833333,0.905378737461,0.4999999999999999,-0.007736943662170001,0.00343,0.116357986111,0.376810378086,0.4900000000000002,0.0232108309865,,,
0.51,0.054158605635199995,,,,0.51,-0.007736943662170001,,,,0.5,0.0232108309865,,,,0.5099999999999999,0.054158605635199995,,,,0.5000000000000002,-0.007736943662170001,,,
0.52,-0.007736943662170001,0.0,0.061096875,0.85998119213,0.5199999999999999,-0.007736943662170001,,,,0.51,-0.007736943662170001,,,,0.5199999999999999,0.0232108309865,,,,0.5100000000000002,0.054158605635199995,,,
0.53,0.0232108309865,,,,0.5299999999999999,-0.007736943662170001,0.0049735,0.119692708333,-0.127946807485,0.52,-0.007736943662170001,,,,0.5299999999999999,-0.007736943662170001,,,,0.5200000000000002,0.0232108309865,0.001372,0.0676472222222,0.715575810185
0.54,-0.007736943662170001,,,,0.5399999999999999,0.054158605635199995,,,,0.53,0.0232108309865,0.001029,0.103257291667,0.817453559028,0.5399999999999999,0.054158605635199995,0.0097755,0.125647569444,-0.7830642361110001,0.5300000000000002,-0.007736943662170001,,,
0.55,0.054158605635199995,,,,0.5499999999999999,0.054158605635199995,,,,0.54,-0.007736943662170001,,,,0.5499999999999999,0.0232108309865,,,,0.5400000000000003,-0.007736943662170001,,,
0.56,0.0232108309865,0.0024010000000000004,0.114809722222,0.146307629244,0.5599999999999999,0.0232108309865,,,,0.55,-0.007736943662170001,,,,0.5599999999999999,-0.007736943662170001,,,,0.5500000000000003,0.054158605635199995,,,
0.57,0.0232108309865,,,,0.57,0.0232108309865,0.0114905,0.10123263888900001,-1.5667074170500002,0.56,-0.007736943662170001,,,,0.57,0.0232108309865,,,,0.5600000000000003,0.054158605635199995,0.0042875,0.101351736111,0.35720896026199994
0.58,0.0232108309865,,,,0.5799999999999998,0.0232108309865,,,,0.5700000000000001,-0.007736943662170001,0.0094325,0.136604513889,-0.11777391975299999,0.58,0.0232108309865,0.016121,0.0649079861111,-2.0262241994599997,0.5700000000000003,0.0232108309865,,,
0.59,-0.007736943662170001,,,,0.5899999999999999,0.0232108309865,,,,0.5800000000000001,-0.007736943662170001,,,,0.5899999999999999,0.0232108309865,,,,0.5800000000000003,-0.007736943662170001,,,
0.6,-0.007736943662170001,0.011319,0.10873576388900001,-1.29361086998,0.5999999999999999,0.0232108309865,,,,0.5900000000000001,-0.007736943662170001,,,,0.5999999999999999,0.0232108309865,,,,0.5900000000000003,-0.007736943662170001,,,
0.61,0.0232108309865,,,,0.6099999999999999,0.0232108309865,0.019208000000000003,-0.048353472222199996,-1.9371494020099997,0.6000000000000001,-0.007736943662170001,,,,0.6099999999999999,0.054158605635199995,,,,0.6000000000000003,0.054158605635199995,0.009261,0.119335416667,-0.5929222125770001
0.62,-0.007736943662170001,,,,0.6199999999999999,0.0232108309865,,,,0.6100000000000001,-0.007736943662170001,0.01372,0.110998611111,-1.43040726273,0.6199999999999999,0.0232108309865,0.0197225,-0.0939677083333,-1.8436911651199999,0.6100000000000003,0.054158605635199995,,,
0.63,-0.007736943662170001,,,,0.6299999999999999,0.0232108309865,,,,0.6200000000000001,-0.007736943662170001,,,,0.6299999999999999,0.0232108309865,,,,0.6200000000000002,0.0232108309865,,,
0.64,-0.007736943662170001,0.016807,-0.022509375,-1.87048804012,0.6399999999999999,0.0232108309865,,,,0.6300000000000001,-0.007736943662170001,,,,0.6399999999999999,-0.007736943662170001,,,,0.6300000000000002,0.0232108309865,,,
0.65,-0.007736943662170001,,,,0.6499999999999999,-0.007736943662170001,0.004802000000000001,-0.134937152778,-0.460013020833,0.64,-0.007736943662170001,,,,0.6499999999999999,-0.007736943662170001,,,,0.6400000000000002,0.0232108309865,0.0156065,0.0845590277778,-2.0220061728400003
