Run,Contact Duration (s),Start Time (s),End Time (s),Impulse (N·s),Avg Force (N),Peak Force (N),v_initial (m/s),v_final (m/s),e,Energy Dissipation (ΔE/E_in)
Run 1,0.2400000000000002,3.83,4.07,0.8614409785254341,3.589337410522639,5.32688571139783,0.8603106944444001,-0.6520572916667999,0.7579323329089929,0.42553857873113166
Run 2,0.24000000000000066,3.82,4.0600000000000005,0.8964022926985293,3.7350095529105287,5.3558992501378295,0.8504732638889999,-0.7407132638888,0.870942445035491,0.2414592574356007
Run 3,0.2400000000000002,3.83,4.07,0.8501933966764196,3.542472486151745,5.20502884871783,0.845280625,-0.6638479166666,0.7853580184292052,0.3832127828889522
Run 4,0.25000000000000044,3.82,4.07,0.9072630273645725,3.6290521094582835,5.4177947994278295,0.8577381944443999,-0.7298515972221999,0.8509025270758305,0.27596488941596564
Run 5,0.2400000000000002,3.84,4.08,0.8901933954098753,3.7091391475411437,5.3558992501378295,0.862263888889,-0.7218720833334,0.8371823204419585,0.2991257623394179
