Run,Peak |Force| (N),Time at Peak (s),Offset dt (s) vs reference,Applied Shift (s),Initial Force (N),Force Offset from 0 (N),Applied Vertical Shift (N),Avg Initial Force (N)
Run 1,5.33462265506,3.94,0.0,-0.0,-0.00773694366217,-0.00773694366217,0.00773694366217,-0.00773694366217
Run 2,5.3636361938,3.77,-0.16999999999999993,0.16999999999999993,-0.00773694366217,-0.00773694366217,0.00773694366217,-0.00773694366217
Run 3,5.21276579238,3.65,-0.29000000000000004,0.29000000000000004,-0.00773694366217,-0.00773694366217,0.00773694366217,-0.00773694366217
Run 4,5.42553174309,4.04,0.10000000000000009,-0.10000000000000009,-0.00773694366217,-0.00773694366217,0.00773694366217,-0.00773694366217
Run 5,5.3636361938,4.14,0.19999999999999973,-0.19999999999999973,-0.00773694366217,-0.00773694366217,0.00773694366217,-0.00773694366217
