thickness_mm,method,duration_s_mean,duration_s_std,duration_s_min,duration_s_max,duration_s_count,peak_force_N_mean,peak_force_N_std,peak_force_N_min,peak_force_N_max,duration_cv,duration_s_uncertainty,peak_force_N_uncertainty
4.0,threshold,0.2320000000000002,0.010954451150102927,0.22000000000000064,0.2400000000000002,5,6.5423072597070115,0.6074548241280388,5.868751307678114,7.348081086382354,0.04721746185389188,0.009999999999999787,0.7396648893521203
40.0,threshold,0.2539999999999999,0.005477225575051342,0.25,0.26000000000000023,5,5.333113139483379,0.08284762976628889,5.197125082850037,5.402604960740129,0.021563880216737576,0.0050000000000001155,0.1027399389450463
52.0,threshold,0.25599999999999995,0.005477225575051627,0.25,0.26000000000000023,5,4.741144971668951,0.19113273674994674,4.432867443364045,4.900415998625515,0.02139541240254542,0.0050000000000001155,0.23377427763073522
