file,thickness_mm,run,duration_s,start_time_s,end_time_s,peak_force_N,threshold_force_N,method
dr lee go brr - 4mm_aligned,4.0,Run 1,0.2400000000000002,3.83,4.07,5.868751307678114,0.5868751307678114,threshold
dr lee go brr - 4mm_aligned,4.0,Run 2,0.22000000000000064,3.84,4.0600000000000005,7.348081086382354,0.7348081086382354,threshold
dr lee go brr - 4mm_aligned,4.0,Run 3,0.23999999999999932,3.83,4.069999999999999,6.326637700771611,0.6326637700771611,threshold
dr lee go brr - 4mm_aligned,4.0,Run 4,0.2400000000000002,3.83,4.07,6.182124578241699,0.6182124578241699,threshold
dr lee go brr - 4mm_aligned,4.0,Run 5,0.22000000000000064,3.84,4.0600000000000005,6.985941625461281,0.6985941625461282,threshold
dr lee go brr - 52mm_aligned,52.0,Run 1,0.25,3.47,3.72,4.432867443364045,0.4432867443364045,threshold
dr lee go brr - 52mm_aligned,52.0,Run 2,0.2599999999999998,3.47,3.73,4.900415998625515,0.4900415998625516,threshold
dr lee go brr - 52mm_aligned,52.0,Run 3,0.25,3.47,3.72,4.876758805503161,0.4876758805503161,threshold
dr lee go brr - 52mm_aligned,52.0,Run 4,0.26000000000000023,3.46,3.72,4.6876590653309,0.46876590653309,threshold
dr lee go brr - 52mm_aligned,52.0,Run 5,0.2599999999999998,3.47,3.73,4.8080235455211335,0.4808023545521134,threshold
dr lee go brr - 40mm_aligned,40.0,Run 1,0.25,3.83,4.08,5.314044909799827,0.5314044909799827,threshold
dr lee go brr - 40mm_aligned,40.0,Run 2,0.25000000000000044,3.82,4.07,5.368519125024093,0.5368519125024094,threshold
dr lee go brr - 40mm_aligned,40.0,Run 3,0.25,3.83,4.08,5.197125082850037,0.5197125082850037,threshold
dr lee go brr - 40mm_aligned,40.0,Run 4,0.26000000000000023,3.82,4.08,5.402604960740129,0.5402604960740129,threshold
dr lee go brr - 40mm_aligned,40.0,Run 5,0.2599999999999989,3.830000000000001,4.09,5.38327161900281,0.538327161900281,threshold
