Thickness (mm),Mean Duration (s),Std Dev (s),Min (s),Max (s),N Runs,CV (%),Peak Force (N)
4.0,0.232,0.011,0.22,0.24,5,4.72,6.54
40.0,0.254,0.0055,0.25,0.26,5,2.16,5.33
52.0,0.256,0.0055,0.25,0.26,5,2.14,4.74
