variable,group1,group2,mean_diff,se_diff,t_statistic,p_value,significant,ci_lower,ci_upper
contact_duration,4.0 mm,16.0 mm,-0.01200000000000001,0.0063245553203367545,-1.8973665961010306,0.0958183421869574,False,-0.02668662226404639,0.0026866222640463677
contact_duration,16.0 mm,28.0 mm,-0.01200000000000001,0.004690415759823428,-2.5584085962673284,0.03941567357143505,True,-0.023217737142230417,-0.0007822628577696025
contact_duration,28.0 mm,40.0 mm,0.0020000000000000018,0.0034641016151377565,0.577350269189626,0.5795840000000001,False,-0.005988232649275095,0.009988232649275099
contact_duration,40.0 mm,52.0 mm,-0.0020000000000000018,0.0034641016151377574,-0.5773502691896258,0.5795840000000001,False,-0.0099882326492751,0.005988232649275097
contact_duration,52.0 mm,64.0 mm,-0.0040000000000000036,0.0040000000000000036,-1.0,0.34835862675746987,False,-0.013325334476850555,0.005325334476850548
contact_duration,64.0 mm,76.0 mm,0.0,0.004472135954999584,0.0,1.0,False,-0.010312764005424274,0.010312764005424274
peak_force,4.0 mm,16.0 mm,0.5839999999999996,0.28760389427127026,2.0305705577448343,0.09892638680897226,False,-0.15880611481764362,1.3268061148176429
peak_force,16.0 mm,28.0 mm,0.30600000000000005,0.1275382295627472,2.3992806004057936,0.04335021670696371,True,0.011681231363320388,0.6003187686366798
peak_force,28.0 mm,40.0 mm,0.32200000000000006,0.0944457516249408,3.409364576595394,0.017178534478346608,True,0.08382097436497521,0.560179025635025
peak_force,40.0 mm,52.0 mm,0.5899999999999999,0.09353074360871942,6.30808627447924,0.001130292936100119,True,0.35448435965864183,0.8255156403413579
peak_force,52.0 mm,64.0 mm,0.3200000000000003,0.09158602513484256,3.493982837762232,0.01733935154155919,True,0.08471191600388733,0.5552880839961132
peak_force,64.0 mm,76.0 mm,0.4939999999999998,0.09234717104492157,5.34937881052899,0.0030807313243861323,True,0.25649843385759574,0.7315015661424038
