thickness_mm,method,duration_s_mean,duration_s_std,duration_s_min,duration_s_max,duration_s_count,peak_force_N_mean,peak_force_N_std,peak_force_N_min,peak_force_N_max,duration_cv,duration_s_uncertainty,peak_force_N_uncertainty
4.0,threshold,0.23199999999999998,0.010954451150103316,0.22,0.24,5,6.544,0.608506368085002,5.87,7.35,0.047217461853893604,0.011135528725660043,0.2766875494126904
16.0,threshold,0.244,0.008944271909999154,0.23,0.25,5,5.96,0.20808652046684809,5.67,6.17,0.036656852090160466,0.010770329614269008,0.10564090116995405
28.0,threshold,0.256,0.005477225575051663,0.25,0.26,5,5.654,0.19501282009139823,5.45,5.9,0.02139541240254556,0.010295630140987,0.10052860289489758
40.0,threshold,0.254,0.005477225575051666,0.25,0.26,5,5.332,0.08105553651663773,5.2,5.4,0.02156388021673884,0.010295630140987002,0.061757590626578034
52.0,threshold,0.256,0.005477225575051666,0.25,0.26,5,4.742,0.19279522815671568,4.43,4.9,0.02139541240254557,0.010295630140987002,0.09966945369570364
64.0,threshold,0.26,0.007071067811865481,0.25,0.27,5,4.422,0.06906518659932814,4.3,4.47,0.02719641466102108,0.010488088481701517,0.05877074101966048
76.0,threshold,0.26,0.007071067811865487,0.25,0.27,5,3.928,0.1946021582614129,3.74,4.18,0.0271964146610211,0.010488088481701517,0.10036931802099683
