h (mm),n_trials,mean_tau (s),std_tau (s),unc_tau (s),CV_tau (%),mean_F_peak (N),std_F_peak (N),unc_F_peak (N)
4.0,5,0.23199999999999998,0.010954451150103316,0.011135528725660043,4.72174618538936,6.544,0.608506368085002,0.2766875494126904
16.0,5,0.244,0.008944271909999154,0.010770329614269008,3.6656852090160466,5.96,0.20808652046684809,0.10564090116995405
28.0,5,0.256,0.005477225575051663,0.010295630140987,2.1395412402545557,5.654,0.19501282009139823,0.10052860289489758
40.0,5,0.254,0.005477225575051666,0.010295630140987002,2.1563880216738838,5.332,0.08105553651663773,0.061757590626578034
52.0,5,0.256,0.005477225575051666,0.010295630140987002,2.139541240254557,4.742,0.19279522815671568,0.09966945369570364
64.0,5,0.26,0.007071067811865481,0.010488088481701517,2.719641466102108,4.422,0.06906518659932814,0.05877074101966048
76.0,5,0.26,0.007071067811865487,0.010488088481701517,2.71964146610211,3.928,0.1946021582614129,0.10036931802099683
