Thickness (mm),τ_mean (s),τ_std (s),F̄_mean (N),F̄_std (N),J_mean (N·s),J_std (N·s),e_mean,e_std,Peak_F_mean (N),Peak_F_std (N)
4.0,0.22600000000000015,0.00547722557505122,3.948001037056507,0.12898230680825012,0.8916982309518486,0.009326807564999453,0.8372821545026351,0.02935981334555137,8.71760127132938,1.6559313255772234
28.0,0.20000000000000018,6.280369834735101e-16,3.710106265497001,0.14314642422155233,0.7420212530994009,0.028629284844310647,0.7481026164337419,0.043957378628753874,4.9856864958996,0.15999650616336483
40.0,0.24200000000000035,0.004472135954999633,3.641002141316868,0.08062286534874316,0.8810986181349663,0.024202526973345247,0.8204635287782956,0.04716120999366545,5.33230157196383,0.07850234136753785
52.0,0.2419999999999999,0.004472135954999633,3.1887407114037662,0.10614066512701704,0.7718065519621329,0.033423256896425016,0.716649336919409,0.09396388669570384,4.74854917265,0.18465116077953084
