Thickness (mm),Mean Duration (s),Std Dev (s),Min (s),Max (s),N Runs,CV (%),Peak Force (N)
4.0,0.256,0.0055,0.25,0.26,5,2.14,6.54
40.0,0.278,0.0045,0.27,0.28,5,1.61,5.33
52.0,0.28,0.0071,0.27,0.29,5,2.53,4.74
