thickness_mm,method,duration_s_mean,duration_s_std,duration_s_min,duration_s_max,duration_s_count,peak_force_N_mean,peak_force_N_std,duration_cv
4.0,threshold,0.2560000000000002,0.005477225575051663,0.25,0.26000000000000023,5,6.542307259707021,0.6074548241280399,0.02139541240254554
28.0,threshold,0.5900000000000001,0.08944271909999157,0.5499999999999998,0.75,5,3.2159571195386647,0.10560411576626819,0.15159782898303656
40.0,threshold,0.27799999999999986,0.004472135954999487,0.27,0.2799999999999998,5,5.333113139483387,0.08284762976628927,0.01608681998201255
52.0,threshold,0.27999999999999997,0.007071067811865481,0.27,0.29000000000000004,5,4.741144971668957,0.19113273674994732,0.025253813613805295
