"Run 5: Time (s)","Run 5: Force (N)","Run 5: Position (m)","Run 5: Velocity (m/s)","Run 5: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Force (N)","Run 1: Position (m)","Run 1: Velocity (m/s)","Run 1: Acceleration (m/s²)","Run 2: Time (s)","Run 2: Force (N)","Run 2: Position (m)","Run 2: Velocity (m/s)","Run 2: Acceleration (m/s²)","Run 3: Time (s)","Run 3: Force (N)","Run 3: Position (m)","Run 3: Velocity (m/s)","Run 3: Acceleration (m/s²)","Run 4: Time (s)","Run 4: Force (N)","Run 4: Position (m)","Run 4: Velocity (m/s)","Run 4: Acceleration (m/s²)"
0.28,1.08897864632,0.362894,0.383612152778,0.0799770929784,0.28,1.1489399597,0.2070005,0.156017361111,-1.60847415123,0.28,1.08897864632,0.1898505,0.0509736111111,0.68274136767,0.28,1.08897864632,0.1864205,-0.0334663194444,0.428005642361,0.28,1.1489399597,0.1884785,-0.0266777777778,0.118600983796
0.29,1.11799218506,,,,0.29,1.1489399597,,,,0.29,1.11799218506,,,,0.29,1.08897864632,,,,0.29,1.1489399597,,,
0.3,1.08897864632,,,,0.3,1.1489399597,,,,0.3,1.08897864632,,,,0.3,1.05803087167,,,,0.3,1.1489399597,,,
0.31,1.08897864632,,,,0.31,1.1489399597,,,,0.31,1.11799218506,,,,0.31,1.05803087167,,,,0.31,1.1489399597,,,
0.32,1.08897864632,0.3781575,0.387065972222,0.14184148341,0.32,1.08897864632,0.2152325,0.060025,-3.25118875386,0.32,1.08897864632,0.1925945,0.0822961805556,0.811597945602,0.32,1.05803087167,0.1864205,0.00607395833333,0.788936390818,0.32,1.1489399597,0.186249,-0.00595486111111,0.560666714892
0.33,1.08897864632,,,,0.33,1.08897864632,,,,0.33,1.11799218506,,,,0.33,1.05803087167,,,,0.33,1.1489399597,,,
0.34,1.08897864632,,,,0.34,1.11799218506,,,,0.34,1.08897864632,,,,0.34,1.02708309703,,,,0.34,1.1489399597,,,
0.35,1.08897864632,,,,0.35,1.11799218506,,,,0.35,1.08897864632,,,,0.35,1.08897864632,,,,0.35,1.1489399597,,,
0.36,1.05803087167,0.3935925,0.39659375,0.186006703318,0.36,1.08897864632,0.2196915,-0.192103819444,-2.70433400849,0.36,1.08897864632,0.195167,0.139581944444,0.240179398148,0.36,1.05803087167,0.1871065,0.0451378472222,0.80142505787,0.36,1.1489399597,0.1871065,0.0370392361111,0.585478636188
0.37,1.05803087167,,,,0.37,1.08897864632,,,,0.37,1.08897864632,,,,0.37,1.08897864632,,,,0.37,1.1489399597,,,
0.38,1.05803087167,,,,0.38,1.08897864632,,,,0.38,1.08897864632,,,,0.38,1.08897864632,,,,0.38,1.1489399597,,,
0.39,1.08897864632,,,,0.39,1.08897864632,,,,0.39,1.11799218506,,,,0.39,1.08897864632,,,,0.39,1.1489399597,,,
0.4,1.05803087167,0.4100565,0.403620486111,0.196510416667,0.4,1.1489399597,0.19208,-0.266658680556,0.335622588735,0.4,1.08897864632,0.2052855,0.139820138889,-1.21776909722,0.4,1.08897864632,0.191051,0.0676472222222,0.801838589892,0.4,1.1489399597,0.1905365,0.0513309027778,0.37573519483
0.41,1.08897864632,,,,0.41,1.1489399597,,,,0.41,1.08897864632,,,,0.41,1.05803087167,,,,0.41,1.1489399597,,,
0.42,1.08897864632,,,,0.42,1.1489399597,,,,0.42,1.11799218506,,,,0.42,1.05803087167,,,,0.42,1.1489399597,,,
0.43,1.08897864632,,,,0.43,1.1489399597,,,,0.43,1.11799218506,,,,0.43,1.05803087167,,,,0.43,1.1489399597,,,
0.44,1.05803087167,0.4258345,0.411719097222,0.215698302469,0.44,1.1489399597,0.1874495,-0.0956350694444,2.01183328511,0.44,1.1489399597,0.209573,0.0563329861111,-2.7446947338,0.44,1.02708309703,0.1925945,0.0913475694444,1.00016854745,0.44,1.1489399597,0.1919085,0.0538319444444,0.41899064429
0.45,1.08897864632,,,,0.45,1.11799218506,,,,0.45,1.1489399597,,,,0.45,1.02708309703,,,,0.45,1.1489399597,,,
0.46,1.05803087167,,,,0.46,1.08897864632,,,,0.46,1.11799218506,,,,0.46,1.02708309703,,,,0.46,1.1489399597,,,
0.47,1.08897864632,,,,0.47,1.08897864632,,,,0.47,1.1489399597,,,,0.47,1.02708309703,,,,0.47,1.1489399597,,,
0.48,1.08897864632,0.4429845,0.420532291667,0.238938802083,0.48,1.08897864632,0.1905365,-0.0234621527778,1.84253327546,0.48,1.08897864632,0.216433,-0.160304861111,-2.31147858796,0.48,1.02708309703,0.194824,0.178645833333,0.312878327546,0.48,1.1489399597,0.1943095,0.0722920138889,0.554215615355
0.49,1.05803087167,,,,0.49,1.11799218506,,,,0.49,1.08897864632,,,,0.49,1.02708309703,,,,0.49,1.1489399597,,,
0.5,1.05803087167,,,,0.5,1.11799218506,,,,0.5,1.08897864632,,,,0.5,1.02708309703,,,,0.5,1.1489399597,,,
0.51,1.08897864632,,,,0.51,1.08897864632,,,,0.51,1.08897864632,,,,0.51,1.02708309703,,,,0.51,1.1489399597,,,
0.52,1.08897864632,0.4594485,0.430060069444,0.271690538194,0.52,1.08897864632,0.187278,0.0215565972222,1.97684847608,0.52,1.08897864632,0.190022,-0.225570138889,0.332562451775,0.52,1.02708309703,0.20923,0.187578125,-1.87139781057,0.52,1.1489399597,0.1949955,0.128505902778,-0.08708984375
0.53,1.08897864632,,,,0.53,1.08897864632,,,,0.53,1.08897864632,,,,0.53,0.998069558293,,,,0.53,1.1489399597,,,
0.54,1.11799218506,,,,0.54,1.08897864632,,,,0.54,1.1489399597,,,,0.54,1.02708309703,,,,0.54,1.17988773435,,,
0.55,1.08897864632,,,,0.55,1.08897864632,,,,0.55,1.11799218506,,,,0.55,1.02708309703,,,,0.55,1.17988773435,,,
0.56,1.08897864632,0.477113,0.445066319444,0.24175081983,0.56,1.08897864632,0.18865,0.127314930556,2.10669753086,0.56,1.08897864632,0.1888215,-0.0734829861111,1.81623263889,0.56,1.05803087167,0.2176335,0.0200083333333,-3.58920982832,0.56,1.17988773435,0.206143,0.134341666667,-2.0461564429
0.57,1.08897864632,,,,0.57,1.08897864632,,,,0.57,1.08897864632,,,,0.57,1.05803087167,,,,0.57,1.17988773435,,,
0.58,1.08897864632,,,,0.58,1.08897864632,,,,0.58,1.08897864632,,,,0.58,1.05803087167,,,,0.58,1.17988773435,,,
0.59,1.08897864632,,,,0.59,1.08897864632,,,,0.59,1.08897864632,,,,0.59,1.08897864632,,,,0.59,1.1489399597,,,
0.6,1.11799218506,0.4954635,0.451259375,0.172277440201,0.6,1.08897864632,0.1977395,0.224498263889,1.52097077546,0.6,1.08897864632,0.189679,-0.0119097222222,1.75990957755,0.6,1.08897864632,0.2148895,-0.227475694444,-2.3256213831,0.6,1.1489399597,0.2166045,-0.0859881944444,-2.73055193866
0.61,1.11799218506,,,,0.61,1.05803087167,,,,0.61,1.08897864632,,,,0.61,1.05803087167,,,,0.61,1.17988773435,,,
0.62,1.11799218506,,,,0.62,1.05803087167,,,,0.62,1.08897864632,,,,0.62,1.08897864632,,,,0.62,1.1489399597,,,
0.63,1.1489399597,,,,0.63,1.05803087167,,,,0.63,1.08897864632,,,,0.63,1.11799218506,,,,0.63,1.17988773435,,,
