"Run 1: Time (s)","Run 1: Force (N)","Run 1: Position (m)","Run 1: Velocity (m/s)","Run 1: Acceleration (m/s²)","Run 2: Time (s)","Run 2: Force (N)","Run 2: Position (m)","Run 2: Velocity (m/s)","Run 2: Acceleration (m/s²)","Run 3: Time (s)","Run 3: Force (N)","Run 3: Position (m)","Run 3: Velocity (m/s)","Run 3: Acceleration (m/s²)","Run 4: Time (s)","Run 4: Force (N)","Run 4: Position (m)","Run 4: Velocity (m/s)","Run 4: Acceleration (m/s²)","Run 5: Time (s)","Run 5: Force (N)","Run 5: Position (m)","Run 5: Velocity (m/s)","Run 5: Acceleration (m/s²)"
0.01,-0.00773694366217,,,,0.01,-0.00773694366217,,,,0.01,-0.00773694366217,,,,0.01,-0.00773694366217,,,,0.01,0.0232108309865,,,
0.02,0.0232108309865,,,,0.02,-0.00773694366217,,,,0.02,-0.00773694366217,,,,0.02,0.0232108309865,,,,0.02,0.0232108309865,,,
0.03,-0.00773694366217,,,,0.03,-0.00773694366217,,,,0.03,-0.00773694366217,,,,0.03,0.0232108309865,,,,0.03,0.0232108309865,,,
0.04,0.0232108309865,-0.001372,0.0164354166667,0.0295096450617,0.04,0.0232108309865,0.0046305,-0.0219138888889,-0.338434606481,0.04,-0.00773694366217,-0.0008575,0.0042875,0.0206931423611,0.04,0.0232108309865,-0.0005145,-0.0140534722222,0.305335503472,0.04,0.0232108309865,-0.0005145,-0.0142916666667,0.33170230517
0.05,-0.00773694366217,,,,0.05,-0.00773694366217,,,,0.05,-0.00773694366217,,,,0.05,-0.00773694366217,,,,0.05,0.0232108309865,,,
0.06,-0.00773694366217,,,,0.06,0.0232108309865,,,,0.06,-0.00773694366217,,,,0.06,-0.00773694366217,,,,0.06,0.0232108309865,,,
0.07,0.0232108309865,,,,0.07,0.0232108309865,,,,0.07,-0.00773694366217,,,,0.07,0.0232108309865,,,,0.07,0.0541586056352,,,
0.08,-0.00773694366217,-0.0008575,0.0189364583333,-0.00966010802469,0.08,0.0232108309865,0.004459,-0.0395402777778,-0.183484157986,0.08,0.0232108309865,-0.000686,0.00446614583333,0.0708628472222,0.08,0.0232108309865,-0.0015435,-0.00113142361111,0.257150752315,0.08,0.0232108309865,-0.0018865,0.0037515625,0.169250385802
0.09,-0.00773694366217,,,,0.09,0.0232108309865,,,,0.09,-0.00773694366217,,,,0.09,-0.00773694366217,,,,0.09,0.0541586056352,,,
0.1,-0.00773694366217,,,,0.1,-0.00773694366217,,,,0.1,-0.00773694366217,,,,0.1,-0.00773694366217,,,,0.1,0.0541586056352,,,
0.11,-0.00773694366217,,,,0.11,0.0232108309865,,,,0.11,-0.00773694366217,,,,0.11,0.0232108309865,,,,0.11,0.0541586056352,,,
0.12,-0.00773694366217,0.000343,0.017364375,-0.0577125289352,0.12,0.0232108309865,0.001372,-0.0453760416667,0.0496238425926,0.12,-0.00773694366217,-0.0005145,0.00550229166667,0.214598307292,0.12,0.0232108309865,-0.001029,0.0123622916667,0.135299406829,0.12,0.0232108309865,0,0.00900375,-0.0414607204861
0.13,-0.00773694366217,,,,0.13,0.0541586056352,,,,0.13,-0.00773694366217,,,,0.13,-0.00773694366217,,,,0.13,0.0232108309865,,,
0.14,-0.00773694366217,,,,0.14,-0.00773694366217,,,,0.14,-0.00773694366217,,,,0.14,0.0232108309865,,,,0.14,-0.00773694366217,,,
0.15,0.0232108309865,,,,0.15,0.0541586056352,,,,0.15,-0.00773694366217,,,,0.15,-0.00773694366217,,,,0.15,0.0232108309865,,,
0.16,-0.00773694366217,0.000686,0.0123861111111,-0.0751966628086,0.16,0.0541586056352,0.0001715,-0.0365628472222,0.300555073302,0.16,-0.00773694366217,-0.000343,0.013934375,0.50895040027,0.16,-0.00773694366217,0.0001715,0.0102423611111,-0.00262179301698,0.16,0.0232108309865,0,-0.00774131944444,-0.0841868489583
0.17,0.0232108309865,,,,0.17,-0.00773694366217,,,,0.17,-0.00773694366217,,,,0.17,-0.00773694366217,,,,0.17,0.0541586056352,,,
0.18,0.0232108309865,,,,0.18,0.0232108309865,,,,0.18,0.0232108309865,,,,0.18,0.0232108309865,,,,0.18,0.0232108309865,,,
0.19,-0.00773694366217,,,,0.19,0.0232108309865,,,,0.19,-0.00773694366217,,,,0.19,0.0232108309865,,,,0.19,0.0541586056352,,,
0.2,-0.00773694366217,0.001029,0.0123861111111,-0.121776909722,0.2,0.0232108309865,-0.0018865,-0.018221875,0.505832368827,0.2,-0.00773694366217,0,0.0393020833333,0.905378737461,0.2,0.0232108309865,-0.000343,0.00952777777778,-0.0922093701775,0.2,0.0232108309865,-0.001372,-0.00905138888889,0.103854431906
0.21,0.0232108309865,,,,0.21,0.0232108309865,,,,0.21,0.0232108309865,,,,0.21,0.0232108309865,,,,0.21,0.0541586056352,,,
0.22,-0.00773694366217,,,,0.22,0.0232108309865,,,,0.22,-0.00773694366217,,,,0.22,0.0232108309865,,,,0.22,-0.00773694366217,,,
0.23,-0.00773694366217,,,,0.23,0.0232108309865,,,,0.23,-0.00773694366217,,,,0.23,-0.00773694366217,,,,0.23,0.0232108309865,,,
0.24,-0.00773694366217,0.0018865,0.00643125,-0.230899739583,0.24,-0.00773694366217,-0.001372,0.00607395833333,0.656771556713,0.24,0.0232108309865,0.001029,0.103257291667,0.817453559028,0.24,0.0232108309865,0.001029,0.00404930555556,-0.181854841821,0.24,-0.00773694366217,-0.001715,0.00905138888889,0.122603973765
