Run 1,Run 1,Run 1,Run 1,Run 1,Run 2,Run 2,Run 2,Run 2,Run 2,Run 3,Run 3,Run 3,Run 3,Run 3,Run 4,Run 4,Run 4,Run 4,Run 4,Latest,Latest,Latest,Latest,Latest
Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²)
0.48,0.0,-0.0214375,-0.000833680555556,0.35621648341,0.48000000000000015,0.0,-0.019894,-0.0102423611111,0.196510416667,0.4800000000000007,0.0,,,,0.48000000000000065,0.0,,,,0.48,0.0,,,
0.5,-0.0309477746487,,,,0.5000000000000002,0.0,,,,0.5000000000000007,-0.0309477746487,-0.021609,-0.100398958333,-0.306319709684,0.5000000000000007,0.0,-0.014063,-0.00690763888889,17.3246759259,0.49999999999999994,0.0,-0.018865,0.00309652777778,0.143462528935
0.52,-0.0309477746487,-0.0204085,0.0134579861111,0.122157359182,0.5200000000000001,0.0,-0.021609,0.0191746527778,0.0839470003858,0.5200000000000007,0.0,,,,0.5200000000000007,-0.030947774648700004,,,,0.52,0.0,,,
0.54,-0.0309477746487,,,,0.5400000000000001,0.0,,,,0.5400000000000007,-0.0309477746487,-0.0193795,-0.0264395833333,0.497032407407,0.5400000000000007,0.0,-0.021266,-0.0319180555556,2.86089723187,0.5399999999999999,-0.030947774648700004,-0.0197225,0.0185196180556,-0.0768425202546
0.56,-0.0309477746487,-0.0193795,0.00797951388889,-0.119345341435,0.5600000000000002,0.0,-0.0162925,0.00738402777778,-0.238359857253,0.5600000000000007,-0.0309477746487,,,,0.5600000000000007,0.0,,,,0.5599999999999999,0.0,,,
0.58,0.0,,,,0.5800000000000001,0.0309477746487,,,,0.5800000000000007,0.0,-0.0204085,-0.0129815972222,0.30758511767,0.5800000000000006,0.0,-0.018865,-0.00905138888889,0.0458193479938,0.58,0.0,-0.0152635,7.14583333333e-05,-0.239459852431
0.6,-0.0309477746487,-0.019551,-0.00619305555556,-0.153089554398,0.6000000000000001,0.0,-0.0204085,-0.0186982638889,-0.169300009645,0.6000000000000008,-0.0618955492973,,,,0.6000000000000006,0.0,,,,0.6,-0.030947774648700004,,,
0.62,0.0,,,,0.6200000000000001,0.0,,,,0.6200000000000008,-0.0309477746487,-0.019551,-0.0104805555556,0.178728539738,0.6200000000000007,0.0,-0.020237,-0.0221520833333,0.0395336612654,0.62,0.0,-0.0197225,-0.0233430555556,0.0280457417052
0.64,-0.0309477746487,-0.0204085,-0.0100041666667,-0.0290299479167,0.6400000000000001,0.0309477746487,-0.019551,-0.00952777777778,0.000992476851852,0.6400000000000008,-0.0618955492973,,,,0.6400000000000006,-0.030947774648700004,,,,0.6399999999999999,0.0,,,
0.66,0.0,,,,0.6600000000000001,0.0,,,,0.6600000000000007,-0.0309477746487,-0.0217805,-0.00714583333333,0.173848861883,0.6600000000000006,0.0,-0.0214375,-0.01500625,0.20519458912,0.6599999999999999,0.0,-0.0204085,0.0179836805556,-0.00465637056327
0.68,0.0,-0.0207515,-0.00345381944444,0.0100074749228,0.6800000000000002,0.0,-0.0204085,-0.0134579861111,0.0927965856481,0.6800000000000007,0.0,,,,0.6800000000000006,0.0,,,,0.6799999999999999,0.0,,,
0.7,0.0,,,,0.7000000000000002,0.0,,,,0.7000000000000007,-0.0309477746487,-0.0204085,0.00452569444444,0.17666087963,0.7000000000000006,0.0,-0.021952,0.000714583333333,0.219254677855,0.7,0.0,-0.0149205,-0.007503125,-0.337243634259
0.72,0.0,-0.0200655,-0.00869409722222,0.0328344425154,0.7200000000000002,0.0,-0.0210945,-0.00393020833333,0.192292390046,0.7200000000000006,0.0,,,,0.7200000000000006,0.0,,,,0.72,-0.030947774648700004,,,
0.74,0.0,,,,0.7400000000000001,0.0,,,,0.7400000000000007,-0.0618955492973,-0.021266,0.0115524305556,0.0751801215278,0.7400000000000007,-0.030947774648700004,-0.0207515,0.00571666666667,0.149202353395,0.74,-0.030947774648700004,-0.02058,-0.039659375,-0.0452404031636
0.76,-0.0309477746487,-0.021952,-0.00297743055556,0.0883304398148,0.7600000000000001,-0.030947774648599997,-0.020923,0.00738402777778,0.142668547454,0.7600000000000007,-0.0309477746487,,,,0.7600000000000007,0.0,,,,0.76,-0.030947774648700004,,,
0.78,0.0,,,,0.7800000000000001,0.0309477746487,,,,0.7800000000000007,-0.0309477746487,-0.0193795,0.0152444444444,-0.123563368056,0.7800000000000007,0.0,-0.0217805,0.0134579861111,0.0392028356481,0.78,0.0,-0.0210945,-0.0115524305556,0.262013888889
0.8,0.0,-0.020237,0.000952777777778,0.0867590181327,0.8000000000000002,0.0,-0.020237,0.0123861111111,-0.0121578414352,0.8000000000000007,-0.0309477746487,,,,0.8000000000000006,-0.030947774648700004,,,,0.8,-0.030947774648700004,,,
0.82,-0.0309477746487,,,,0.8200000000000002,0.0,,,,0.8200000000000007,0.0,-0.0190365,-0.00404930555556,-0.189232253086,0.8200000000000006,-0.030947774648700004,-0.0193795,0.0133388888889,-0.145894097222,0.82,0.0,-0.0204085,-0.00214375,0.2277734375
0.84,-0.0309477746487,-0.0217805,0.00393020833333,0.0779921392747,0.8400000000000002,0.0309477746487,-0.0193795,0.00488298611111,-0.134067081404,0.8400000000000007,0.0,,,,0.8400000000000006,0.0,,,,0.84,-0.030947774648700004,,,
0.86,-0.0309477746487,,,,0.8600000000000001,0.0,,,,0.8600000000000008,-0.0309477746487,-0.0204085,-0.00797951388889,-0.0665786554784,0.8600000000000007,0.0,-0.0197225,-0.00702673611111,-0.132495659722,0.86,-0.030947774648700004,-0.021266,0.00833680555556,0.105037133488
0.88,-0.0309477746487,-0.0200655,0.00821770833333,0.0470599440586,0.8800000000000001,0.0,-0.0197225,-0.00595486111111,-0.089405623071,0.8800000000000007,-0.0309477746487,,,,0.8800000000000007,0.0,,,,0.8799999999999999,0.0,,,
0.9,-0.0309477746487,,,,0.9000000000000001,-0.030947774648599997,,,,0.9000000000000007,0.0,-0.019894,-0.00714583333333,0.0197668306327,0.9000000000000007,-0.030947774648700004,-0.0210945,-0.00393020833333,0.0298570119599,0.8999999999999999,-0.030947774648700004,-0.019551,0.0101232638889,-0.115458140432
0.92,-0.0309477746487,-0.020923,0.008575,0.0167894000772,0.9200000000000002,0.0,-0.02058,-0.00238194444444,-0.0243156828704,0.9200000000000007,-0.0309477746487,,,,0.9200000000000006,0.0,,,,0.9199999999999999,-0.030947774648700004,,,
0.94,0.0,,,,0.9400000000000002,-0.030947774648599997,,,,0.9400000000000007,-0.0309477746487,-0.0210945,-0.00285833333333,0.0406088445216,0.9400000000000006,0.0,-0.020237,0.00393020833333,0.0271277006173,0.94,0.0,-0.019551,-0.00786041666667,-0.158879002701
0.96,0.0,-0.0190365,0.00357291666667,0.106691261574,0.9600000000000002,0.0,-0.0197225,-0.00262013888889,-0.0306013695988,0.9600000000000007,0.0,,,,0.9600000000000006,-0.030947774648700004,,,,0.96,-0.030947774648700004,,,
