Run,Peak |Force| (N),Time at Peak (s),Offset dt (s) vs reference,Applied Shift (s),Initial Force (N),Force Offset from 0 (N),Applied Vertical Shift (N),Avg Initial Force (N)
Run 1,3.76015461981,5.86,0.0,-0.0,0.0425531901419,0.0425531901419,-0.0425531901419,0.011605415493240002
Run 2,3.57833644375,5.7,-0.16000000000000014,0.16000000000000014,0.0116054154932,0.0116054154932,-0.0116054154932,0.011605415493240002
Run 3,3.42553180642,5.56,-0.3000000000000007,0.3000000000000007,0.0425531901419,0.0425531901419,-0.0425531901419,0.011605415493240002
Run 4,3.21276585571,5.64,-0.22000000000000064,0.22000000000000064,-0.0193423591554,-0.0193423591554,0.0193423591554,0.011605415493240002
Latest,3.09090899304,5.4,-0.45999999999999996,0.45999999999999996,-0.0193423591554,-0.0193423591554,0.0193423591554,0.011605415493240002
