Run,Contact Duration (s),Start Time (s),End Time (s),Impulse (N·s),Avg Force (N),Peak Force (N),v_initial (m/s),v_final (m/s),e,Energy Dissipation (ΔE/E_in)
Latest,0.22000000000000064,3.84,4.0600000000000005,0.8926402038426982,4.057455472012252,10.4700190107959,0.9267907638888,-0.7467634027779999,0.8057518825981735,0.35076390368949917
Run 1,0.22999999999999954,3.83,4.06,0.8813636084553224,3.832015688936192,6.7582202889046,0.8519977083334,-0.7358540972220001,0.8636808409513338,0.2540554049735969
Run 2,0.22000000000000064,3.83,4.050000000000001,0.904980628983654,4.113548313562052,10.4100576973959,0.9380097222204,-0.761841111111,0.812188928391505,0.3403491445982587
Run 3,0.22999999999999954,3.83,4.06,0.8950579987371069,3.891556516248299,8.187620630484599,0.8726729861110002,-0.7598402777776,0.8707044790784341,0.24187371011275272
Run 4,0.23000000000000043,3.83,4.0600000000000005,0.884448714740462,3.845429194523741,7.7620887290659,0.8982788888888,-0.7492406250002001,0.8340846414937291,0.30430281082427746
