Run,Peak |Force| (N),Time at Peak (s),Offset dt (s) vs reference,Applied Shift (s),Initial Force (N),Force Offset from 0 (N),Applied Vertical Shift (N),Avg Initial Force (N)
Run 1,6.77756264806,3.94,0.0,-0.0,-0.0193423591554,-0.0193423591554,0.0193423591554,-0.037911023944619995
Run 2,10.4603478312,3.86,-0.08000000000000007,0.08000000000000007,-0.0502901338041,-0.0502901338041,0.0502901338041,-0.037911023944619995
Run 3,8.20696298964,3.89,-0.04999999999999982,0.04999999999999982,-0.0193423591554,-0.0193423591554,0.0193423591554,-0.037911023944619995
Run 4,7.81237886287,3.87,-0.06999999999999984,0.06999999999999984,-0.0502901338041,-0.0502901338041,0.0502901338041,-0.037911023944619995
Latest,10.5203091446,3.67,-0.27,0.27,-0.0502901338041,-0.0502901338041,0.0502901338041,-0.037911023944619995
