Run 1,Run 1,Run 1,Run 1,Run 1,Run 2,Run 2,Run 2,Run 2,Run 2,Run 3,Run 3,Run 3,Run 3,Run 3,Run 4,Run 4,Run 4,Run 4,Run 4,Latest,Latest,Latest,Latest,Latest
Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s) [aligned],Force (N),Position (m),Velocity (m/s),Acceleration (m/s²)
0.28,-0.019342359155400002,0.000343,-0.0016673611111099997,0.0758417727623,0.2800000000000001,-0.050290133804099996,0.001715,0.0122670138889,-0.0205690827546,0.2899999999999998,-0.019342359155400002,0.0005145,-0.013457986111099999,-0.125167872299,0.2899999999999998,-0.050290133804099996,,,,0.28,-0.050290133804099996,,,
0.29,-0.019342359155400002,,,,0.29000000000000004,-0.050290133804099996,,,,0.2999999999999998,-0.050290133804099996,,,,0.2999999999999998,-0.050290133804099996,,,,0.29000000000000004,-0.050290133804099996,,,
0.3,-0.019342359155400002,,,,0.30000000000000004,-0.019342359155400002,,,,0.30999999999999983,-0.019342359155400002,,,,0.30999999999999983,-0.050290133804099996,-0.0001715,-0.011314236111099999,0.0348193962191,0.30000000000000004,-0.050290133804099996,,,
0.31,0.011605415493199999,,,,0.31000000000000005,-0.050290133804099996,,,,0.31999999999999984,-0.019342359155400002,,,,0.31999999999999984,-0.019342359155400002,,,,0.31,-0.050290133804099996,0.0056595,-0.0633597222222,0.40936361882700006
0.32,-0.019342359155400002,-0.000343,-0.006788541666670001,0.103052179784,0.32000000000000006,-0.019342359155400002,0.0012005000000000002,0.005359375,-0.19265629822500002,0.32999999999999985,-0.019342359155400002,0.0015435,-0.007503125,-0.0789846161265,0.32999999999999985,-0.019342359155400002,,,,0.32,-0.050290133804099996,,,
0.33,-0.050290133804099996,,,,0.33000000000000007,-0.019342359155400002,,,,0.3399999999999998,-0.050290133804099996,,,,0.33999999999999986,-0.050290133804099996,,,,0.33,-0.019342359155400002,,,
0.34,-0.019342359155400002,,,,0.3400000000000001,-0.050290133804099996,,,,0.3499999999999998,-0.019342359155400002,,,,0.34999999999999987,-0.019342359155400002,0.001372,-0.00917048611111,0.08460865162039999,0.34,-0.050290133804099996,,,
0.35,-0.050290133804099996,,,,0.3500000000000001,-0.019342359155400002,,,,0.3599999999999998,-0.019342359155400002,,,,0.3599999999999998,-0.050290133804099996,,,,0.35000000000000003,-0.050290133804099996,0.0024010000000000004,-0.044185069444399996,0.35037741126500005
0.36,-0.019342359155400002,-0.000686,-0.00131006944444,0.330329378858,0.3600000000000001,-0.019342359155400002,0.0024010000000000004,-0.006788541666670001,-0.258292100694,0.36999999999999983,-0.019342359155400002,0.001029,-0.021556597222199998,0.0248119212963,0.36999999999999983,-0.050290133804099996,,,,0.36,-0.019342359155400002,,,
0.37,-0.019342359155400002,,,,0.37000000000000005,-0.050290133804099996,,,,0.37999999999999984,-0.050290133804099996,,,,0.37999999999999984,-0.050290133804099996,,,,0.37,-0.050290133804099996,,,
0.38,-0.019342359155400002,,,,0.38000000000000006,-0.019342359155400002,,,,0.38999999999999985,-0.019342359155400002,,,,0.38999999999999985,-0.019342359155400002,-0.0005145,-0.0109569444444,0.26557026427499997,0.38,-0.019342359155400002,,,
0.39,-0.019342359155400002,,,,0.39000000000000007,-0.050290133804099996,,,,0.3999999999999998,-0.019342359155400002,,,,0.39999999999999986,-0.019342359155400002,,,,0.39,-0.019342359155400002,0.0024010000000000004,-0.036372291666699995,0.327169994213
0.4,-0.019342359155400002,-0.0008575,0.016435416666700002,0.664959490741,0.4000000000000001,-0.019342359155400002,0.001029,-0.026320486111099998,-0.05359375,0.4099999999999998,-0.019342359155400002,-0.001029,-0.0159590277778,0.366720196759,0.40999999999999986,-0.050290133804099996,,,,0.4,-0.019342359155400002,,,
0.41,-0.019342359155400002,,,,0.4100000000000001,-0.019342359155400002,,,,0.4199999999999998,-0.019342359155400002,,,,0.4199999999999998,-0.050290133804099996,,,,0.41000000000000003,-0.050290133804099996,,,
0.42,0.011605415493199999,,,,0.4200000000000001,-0.019342359155400002,,,,0.4299999999999998,-0.019342359155400002,,,,0.4299999999999998,-0.050290133804099996,-0.0005145,0.008336805555560002,0.533704427083,0.42000000000000004,-0.050290133804099996,,,
0.43,-0.019342359155400002,,,,0.43000000000000005,-0.019342359155400002,,,,0.43999999999999984,-0.019342359155400002,,,,0.43999999999999984,-0.019342359155400002,,,,0.43000000000000005,-0.050290133804099996,-0.0008575,-0.022152083333299998,0.37686000192900004
0.44,-0.019342359155400002,0.000343,0.0481152777778,1.02481505594,0.44000000000000006,-0.050290133804099996,-0.0008575,-0.018460069444400002,0.350592447917,0.44999999999999984,-0.050290133804099996,-0.001029,0.009765972222219999,0.6889443479940001,0.44999999999999984,-0.050290133804099996,,,,0.44000000000000006,-0.019342359155400002,,,
0.45,-0.019342359155400002,,,,0.45000000000000007,-0.050290133804099996,,,,0.4599999999999998,-0.050290133804099996,,,,0.45999999999999985,-0.019342359155400002,,,,0.45,-0.019342359155400002,,,
