Run,Contact Duration (s),Start Time (s),End Time (s),Impulse (N·s),Avg Force (N),Peak Force (N),v_initial (m/s),v_final (m/s),e,Energy Dissipation (ΔE/E_in)
Latest,0.1999999999999993,4.5,4.699999999999999,0.7273694160390993,3.6368470801955097,5.052224211393,0.8489250000002,-0.6414862222222,0.7556453423118048,0.4290001166424754
Run 1,0.20000000000000018,4.45,4.65,0.7272243483460505,3.6361217417302494,4.868471799422,0.8323466666667999,-0.5892511333334001,0.7079395604395273,0.4988215787646888
Run 2,0.20000000000000107,4.449999999999999,4.65,0.7325918530106026,3.6629592650529936,4.777562711383,0.8310127777778,-0.5913129444444,0.7115569823434267,0.49368666087831636
Run 3,0.20000000000000018,4.499999999999999,4.699999999999999,0.729835566831501,3.6491778341575016,5.05415844731,0.8302505555558,-0.6214778888888,0.7485425751660715,0.4396840131637463
Run 4,0.20000000000000018,4.5,4.7,0.793085081269751,3.9654254063487513,5.1760153099899995,0.8628355555556,-0.7047887777776,0.8168286219078791,0.33279100243207516
