Run,Peak |Force| (N),Time at Peak (s),Offset dt (s) vs reference,Applied Shift (s),Initial Force (N),Force Offset from 0 (N),Applied Vertical Shift (N),Avg Initial Force (N)
Run 1,5.00386831351,4.55,0.0,-0.0,-0.135396514088,-0.135396514088,0.135396514088,-0.4328819978984
Run 2,5.24758203886,3.65,-0.8999999999999999,0.8999999999999999,-0.470019327477,-0.470019327477,0.470019327477,-0.4328819978984
Run 3,5.55319131352,4.4,-0.14999999999999947,0.14999999999999947,-0.49903286621,-0.49903286621,0.49903286621,-0.4328819978984
Run 4,5.6750481762,3.55,-1.0,1.0,-0.49903286621,-0.49903286621,0.49903286621,-0.4328819978984
Latest,5.6131526269,3.5,-1.0499999999999998,1.0499999999999998,-0.560928415507,-0.560928415507,0.560928415507,-0.4328819978984
