Run,Peak |Force| (N),Time at Peak (s),Offset dt (s) vs reference,Applied Shift (s),Initial Force (N),Force Offset from 0 (N),Applied Vertical Shift (N),Avg Initial Force (N)
Run 1,3.38490902632,3.58,0.0,-0.0,1.05803087167,1.05803087167,-1.05803087167,1.100970908996
Run 2,3.69051830098,3.71,0.1299999999999999,-0.1299999999999999,1.210835509,1.210835509,-1.210835509,1.100970908996
Run 3,3.81237516366,3.82,0.23999999999999977,-0.23999999999999977,1.05803087167,1.05803087167,-1.05803087167,1.100970908996
Run 4,3.62862275168,3.83,0.25,-0.25,1.08897864632,1.08897864632,-1.08897864632,1.100970908996
Latest,3.72146607563,2.73,-0.8500000000000001,0.8500000000000001,1.08897864632,1.08897864632,-1.08897864632,1.100970908996
