Run,Contact Duration (s),Start Time (s),End Time (s),Impulse (N·s),Avg Force (N),Peak Force (N),v_initial (m/s),v_final (m/s),e
Latest,0.23999999999999977,3.47,3.71,0.778568640723214,3.244036003013395,4.81044472195,0.8250579166668001,-0.6226402777778001,0.7546625093826638
Run 1,0.23999999999999977,3.47,3.71,0.72220500614378,3.0091875255990863,4.44293989799,0.8395163194442,-0.6256415277777999,0.7452404596399086
Run 2,0.25,3.47,3.72,0.813597653153633,3.254390612614532,4.90135380998,1.1308519444449998,-0.6212587499998,0.5493723144321088
Run 3,0.23999999999999977,3.47,3.71,0.7827079055817345,3.261282939923897,4.87040603533,0.8327992361109999,-0.6400999305558,0.7686125332498311
Run 4,0.2400000000000002,3.46,3.7,0.7619535542083022,3.174806475867923,4.717601398,0.8432797916666,-0.6454116666666,0.7653588678925328
