thickness_mm,duration_s_mean,duration_s_std,duration_s_min,duration_s_max,duration_s_count,duration_cv,peak_force_N_mean,peak_force_N_std
4,0.256,0.005477225575051666,0.25,0.26,5,0.02139541240254557,6.544,0.6085063680850019
16,0.264,0.005477225575051666,0.26,0.27,5,0.0207470665721654,6.116,0.15043270920913449
28,0.268,0.004472135954999583,0.26,0.27,5,0.016687074458953666,5.632000000000001,0.13516656391282553
40,0.276,0.0054772255750516665,0.27,0.28,5,0.01984502019946256,5.284000000000001,0.08532291603080622
52,0.28,0.009999999999999981,0.27,0.29,5,0.03571428571428564,4.672,0.22286767374386088
64,0.28600000000000003,0.011401754250991363,0.27,0.3,5,0.0398662736048649,4.31,0.19170289512680813
76,0.29600000000000004,0.01140175425099137,0.28,0.31,5,0.038519440037133,3.8200000000000003,0.19235384061671343
